Symbol  ,Price  ,Change  ,Change %  ,Volume  ,Avg Vol (3M)  ,Market Cap  ,P/E Ratio (TTM)  ,52 Wk Change %  ,52 Wk Range  ,Day Chart  
  GME GameStop Corp.  , 23.58 +1.10 (+4.89%) , +1.10 , +4.89% , 7.296M ,11.236M , 10.529B ,168.43 ,46.07% , ,   
  GPCR Structure Therapeutics Inc.  , 43.75 +2.00 (+4.79%) , +2.00 , +4.79% ," 493,548 ","773,952 ", 2.502B ,- ,-26.24% , ,   
"  ASPN Aspen Aerogels, Inc.  ", 29.92 +1.38 (+4.84%) , +1.38 , +4.84% , 1.68M ,1.587M , 2.306B ,- ,259.45% , ,   
  SMMT Summit Therapeutics Inc.  , 21.85 +0.97 (+4.64%) , +0.97 , +4.64% , 2.189M ,4.797M , 16.061B ,- ,"1,079.94% ", ,   
  PPC Pilgrim's Pride Corporation  , 46.03 +1.97 (+4.47%) , +1.97 , +4.47% , 1.063M ,1.185M , 10.915B ,14.43 ,95.21% , ,   
"  ICUI ICU Medical, Inc.  ", 182.17 +7.70 (+4.41%) , +7.70 , +4.41% ," 221,294 ","282,903 ", 4.45B ,- ,47.63% , ,   
"  HIMS Hims & Hers Health, Inc.  ", 18.55 +0.78 (+4.40%) , +0.78 , +4.40% , 3.623M ,8.063M , 4.015B ,231.89 ,175.50% , ,   
  AMKBY A.P. Møller - Mærsk A/S  , 8.38 +0.33 (+4.10%) , +0.33 , +4.10% ," 27,633 ","183,939 ", 26.104B ,23.28 ,-9.96% , ,   
  MNSO MINISO Group Holding Limited  , 17.80 +0.67 (+3.91%) , +0.67 , +3.91% , 6.99M ,2.091M , 5.563B ,17.28 ,-33.35% , ,   
"  INSP Inspire Medical Systems, Inc.  ", 210.34 +7.86 (+3.88%) , +7.86 , +3.88% ," 205,621 ","654,701 ", 6.273B ,"1,051.70 ",3.96% , ,   
  FUTU Futu Holdings Limited  , 97.42 +11.74 (+13.71%) , +11.74 , +13.71% , 16.488M ,1.458M , 13.436B ,25.17 ,50.03% , ,   
  TAL TAL Education Group  , 11.89 +1.09 (+10.05%) , +1.09 , +10.05% , 33.501M ,6.168M , 7.182B ,148.56 ,18.42% , ,   
  SNMYF Suncorp Group Limited  , 11.40 +0.95 (+9.09%) , +0.95 , +9.09% ," 18,826 ",201 , 15.794B ,24.26 ,31.03% , ,   
